Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2002,9,DET,Detroit Pistons,Ben Wallace,27,80,80,2921,4.7,8.8,0.53,0.0,0.1,0.0,4.7,8.7,0.54,1.8,4.3,0.42,5.8,13.2,19.0,2.1,2.5,5.1,1.3,3.2,11.1,,117,93
2002,9,DET,Detroit Pistons,Clifford Robinson,35,80,80,2855,8.5,20.0,0.42,2.1,5.7,0.38,6.3,14.3,0.44,2.7,3.8,0.69,1.5,5.7,7.2,3.8,1.7,1.8,2.8,4.5,21.8,,98,103
2002,9,DET,Detroit Pistons,Jerry Stackhouse,27,76,76,2685,10.4,26.2,0.4,1.7,6.0,0.29,8.7,20.2,0.43,9.8,11.5,0.86,1.5,4.7,6.3,8.0,1.5,0.7,5.3,3.2,32.4,,102,105
2002,9,DET,Detroit Pistons,Chucky Atkins,27,79,62,2285,8.6,18.4,0.47,3.2,7.8,0.41,5.4,10.6,0.51,1.9,2.8,0.69,0.7,3.0,3.7,6.1,1.7,0.3,3.0,4.1,22.3,,108,106
2002,9,DET,Detroit Pistons,Jon Barry,32,82,6,1985,6.8,14.0,0.49,3.3,6.9,0.47,3.6,7.1,0.51,2.9,3.1,0.93,1.1,5.2,6.3,7.4,2.5,0.5,3.0,3.6,19.9,,120,103
2002,9,DET,Detroit Pistons,Michael Curry,33,82,75,1912,3.5,7.7,0.45,0.2,0.7,0.27,3.3,7.0,0.47,2.0,2.5,0.79,0.4,4.3,4.7,3.5,1.3,0.3,1.7,5.8,9.2,,102,106
2002,9,DET,Detroit Pistons,Corliss Williamson,28,78,7,1701,12.9,25.3,0.51,0.0,0.2,0.2,12.9,25.1,0.51,7.5,9.3,0.8,3.7,6.3,10.0,2.9,1.5,0.8,4.3,7.1,33.3,,107,104
2002,9,DET,Detroit Pistons,Zeljko Rebraaa,29,74,4,1179,8.5,16.9,0.5,0.0,0.0,,8.5,16.9,0.5,6.1,7.9,0.77,3.8,9.3,13.1,1.7,1.3,3.3,3.8,8.7,23.2,,105,100
2002,9,DET,Detroit Pistons,Damon Jones,25,67,0,1083,5.6,14.0,0.4,3.4,9.2,0.37,2.2,4.8,0.46,2.1,2.9,0.73,0.6,4.4,5.1,6.9,1.1,0.0,3.0,4.1,16.7,,106,107
2002,9,DET,Detroit Pistons,Dana Barros,34,29,20,582,6.8,17.6,0.38,2.2,6.5,0.34,4.6,11.1,0.41,1.9,2.5,0.78,0.1,5.1,5.2,7.1,1.3,0.2,3.0,3.4,17.7,,96,106
2002,9,DET,Detroit Pistons,Mikki Moore,26,30,0,217,7.1,15.0,0.48,0.2,0.5,0.5,6.9,14.5,0.48,4.9,6.4,0.77,5.4,7.6,13.0,2.7,1.7,2.2,3.4,8.6,19.4,,107,101
2002,9,DET,Detroit Pistons,Rodney White,21,16,0,129,8.7,24.8,0.35,0.8,3.7,0.22,7.9,21.1,0.37,5.0,5.8,0.86,0.8,6.6,7.4,5.0,3.7,0.8,5.8,2.5,23.1,,80,99
2002,9,DET,Detroit Pistons,Victor Alexander,32,15,0,97,9.9,28.0,0.35,0.0,1.1,0.0,9.9,26.9,0.37,2.2,4.4,0.5,3.8,12.1,15.9,3.3,0.0,0.5,2.7,3.3,22.0,,80,103
2002,9,DET,Detroit Pistons,Brian Cardinal,24,8,0,43,7.4,16.1,0.46,3.7,8.7,0.43,3.7,7.4,0.5,2.5,2.5,1.0,2.5,5.0,7.4,2.5,1.2,0.0,0.0,6.2,21.1,,134,106
2002,9,DET,Detroit Pistons,Ratko Varda,22,1,0,6,17.8,26.7,0.67,0.0,0.0,,17.8,26.7,0.67,8.9,8.9,1.0,0.0,8.9,8.9,0.0,0.0,0.0,8.9,26.7,44.4,,102,105
