Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2003,9,DET,Detroit Pistons,Ben Wallace,28,73,73,39.4,2.9,6.0,0.48,0.0,0.1,0.17,2.9,5.9,0.48,0.48,1.2,2.6,0.45,4.0,11.4,15.4,1.6,1.4,3.2,1.2,2.5,6.9
2003,9,DET,Detroit Pistons,Clifford Robinson,36,81,69,34.9,4.6,11.5,0.4,1.1,3.2,0.34,3.5,8.3,0.42,0.44,2.0,2.9,0.68,1.0,2.9,3.9,3.3,1.1,1.1,2.0,3.2,12.2
2003,9,DET,Detroit Pistons,Richard Hamilton,24,82,82,32.2,7.0,15.7,0.44,0.4,1.5,0.27,6.6,14.2,0.46,0.46,5.4,6.4,0.83,1.1,2.8,3.9,2.5,0.8,0.2,2.4,3.0,19.7
2003,9,DET,Detroit Pistons,Chauncey Billups,26,74,74,31.4,4.9,11.8,0.42,2.0,5.1,0.39,2.9,6.6,0.44,0.51,4.3,4.9,0.88,0.5,3.2,3.7,3.9,0.9,0.2,1.8,1.8,16.2
2003,9,DET,Detroit Pistons,Corliss Williamson,29,82,1,25.1,4.6,10.1,0.45,0.0,0.1,0.18,4.5,9.9,0.46,0.45,2.9,3.7,0.79,1.8,2.6,4.4,1.3,0.5,0.3,1.5,2.9,12.0
2003,9,DET,Detroit Pistons,Chucky Atkins,28,65,7,21.5,2.6,7.2,0.36,1.3,3.7,0.36,1.3,3.4,0.37,0.45,0.6,0.8,0.82,0.3,1.2,1.5,2.7,0.4,0.1,1.2,1.7,7.1
2003,9,DET,Detroit Pistons,Michael Curry,34,78,77,19.9,1.2,2.9,0.4,0.2,0.7,0.3,1.0,2.2,0.43,0.44,0.5,0.6,0.8,0.2,1.4,1.6,1.3,0.6,0.1,0.6,2.1,3.0
2003,9,DET,Detroit Pistons,Mehmet Okur,23,72,9,19.0,2.5,5.9,0.43,0.5,1.6,0.34,2.0,4.3,0.46,0.47,1.3,1.8,0.73,1.6,3.0,4.7,1.0,0.3,0.5,0.9,2.3,6.9
2003,9,DET,Detroit Pistons,Jon Barry,33,80,0,18.4,2.4,5.3,0.45,1.1,2.7,0.41,1.3,2.6,0.5,0.55,1.1,1.3,0.86,0.4,1.8,2.3,2.6,0.8,0.2,1.0,1.3,6.9
2003,9,DET,Detroit Pistons,Zeljko Rebraaa,30,30,12,16.3,2.7,4.8,0.55,0.0,0.0,,2.7,4.8,0.55,0.55,1.3,1.6,0.79,0.9,2.2,3.1,0.3,0.2,0.6,1.0,2.6,6.6
2003,9,DET,Detroit Pistons,Tayshaun Prince,22,42,5,10.4,1.3,2.8,0.45,0.5,1.1,0.43,0.8,1.7,0.46,0.53,0.3,0.4,0.65,0.1,1.0,1.1,0.6,0.2,0.3,0.5,0.6,3.3
2003,9,DET,Detroit Pistons,Don Reid,29,1,0,10.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
2003,9,DET,Detroit Pistons,Hubert Davis,32,43,1,7.6,0.7,1.8,0.39,0.3,0.8,0.33,0.4,1.0,0.44,0.47,0.1,0.1,0.83,0.1,0.7,0.8,0.7,0.1,0.0,0.3,0.5,1.8
2003,9,DET,Detroit Pistons,Danny Manning,36,13,0,6.8,1.0,2.5,0.41,0.2,0.6,0.38,0.8,1.8,0.42,0.45,0.4,0.5,0.83,0.5,0.8,1.4,0.5,0.7,0.2,0.5,0.8,2.6
2003,9,DET,Detroit Pistons,Pepe Sanchez,25,9,0,4.1,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.4,0.2,0.7,0.9,0.6,0.0,0.2,0.3,0.0
